Movie,Month,Day,Release Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Tycoon,Jun,13,2003,5,0.121016,0.121016
Desert Blue,Jun,4,1999,5,0.099147,0.099147
Decoys,Feb,27,2004,5,0.084733,0.09676
Stuck,May,30,2008,5,0.067505,0.067505
Redacted,Nov,16,2007,5,0.065388,0.861325
Rudderless,Oct,17,2014,5,0.056001,0.056001
Fascination,Jan,28,2005,5,0.01667,0.083356
Grace,Aug,14,2009,5,0.008297,0.008297
Area 51,May,15,2015,5,0.007556,0.007556
Mientras duermes,Oct,26,2012,5,0,9.109597
Flying By,Jul,7,2009,5,0,4.568257
The Cottage,Dec,31,2008,5,0,1.50496
Yoga Hosers,Sep,2,2016,5,0,0.002199
Dead Like Me: Life After Death,Feb,17,2009,5,0,0
Farce of the Penguins,Jan,30,2007,5,0,0
Psych 9,Dec,31,2010,5,0,0
Henry & Me,Aug,18,2014,5,0,0
Born of War,Jan,27,2015,5,0,0
Dying of the Light,Dec,5,2014,5,0,0
Let's Kill Ward's Wife,Jan,9,2015,5,0,0
Capricorn One,Jan,13,2015,5,0,0
We Have Your Husband,Dec,31,2011,5,0,0
Should've Been Romeo,Dec,31,2012,5,0,0
Aztec Warrior,Dec,31,2015,5,0,0
Navy SEAL vs. Zombies,Sep,25,2015,5,0,0
The Hatching,Mar,15,2016,5,0,0
Running Forever,Oct,27,2015,5,0,0
Obsluhoval jsem anglického krále,Aug,29,2008,4.9,0.617228,7.174984
Soul Kitchen,Aug,20,2010,4.9,0.276901,23.347469
The Awakening,Aug,17,2012,4.9,0.095933,6.924321
All Hat,Jan,18,2008,4.9,0.015198,0.015198
Sling Blade,Nov,20,1996,4.83361,24.475416,34.175
Hostel,Jan,6,2006,4.8,47.326473,82.24111
Only God Forgives,Jul,19,2013,4.8,0.775849,4.49456
Take Shelter,Sep,30,2011,4.75,1.728953,4.972016
Tristram Shandy: A Cock and Bull Story,Jan,27,2006,4.75,1.253413,3.061763
The Texas Chainsaw Massacre 2,Aug,22,1986,4.7,8.025872,8.025872
Lady in White,Apr,22,1988,4.7,1.705139,1.705139
Driving Lessons,Oct,13,2006,4.7,0.239962,0.239962
Without Men,Dec,31,2011,4.7,0,0
Treading Water,Mar,10,2015,4.7,0,0
Pat Garrett and Billy the Kid,May,23,1973,4.638783,8,11
Camping Sauvage,Jul,16,2004,4.6,3.479302,3.479302
Barfi,Sep,14,2012,4.6,2.804874,36.751984
Dear Frankie,Mar,4,2005,4.6,1.340891,3.099369
Le nom des gens,Jun,24,2011,4.6,0.514237,9.261711
Savage Grace,May,28,2008,4.6,0.434417,0.968805
Out of the Blue,Oct,19,2007,4.6,0.000728,0.731767
Police Academy,Mar,23,1984,4.5,81.198894,81.198894
Four Weddings and a Funeral,Mar,9,1994,4.5,52.700832,242.895809
The Blue Lagoon,Jun,20,1980,4.5,47.923795,47.923795
Fast Times at Ridgemont High,Aug,13,1982,4.5,27.09288,27.09288
Secrets & Lies,Sep,28,1996,4.5,13.417292,13.417292
25th Hour,Dec,19,2002,4.5,13.084595,25.34449
Moby Dick,Jan,1,1956,4.5,10.4,10.4
Bound,Oct,4,1996,4.5,3.80226,7.011317
Requiem for a Dream,Oct,6,2000,4.5,3.635482,7.388858
State Fair,Mar,9,1962,4.5,3.5,3.5
Låt den rätte komma in,Oct,24,2008,4.5,2.122085,12.247682
Tango,Feb,12,1999,4.5,1.687311,5.428387
Salvador,Apr,23,1986,4.5,1.5,1.5
Salvando al Soldado Perez,Sep,2,2011,4.5,1.400726,9.330465
Donnie Darko,Oct,26,2001,4.5,1.270522,7.301393
Karakter,Mar,27,1998,4.5,0.713413,0.713413
Nannerl la soeur de Mozart,Aug,19,2011,4.5,0.707885,2.404639
Spun,Mar,14,2003,4.5,0.410241,1.022649
Life During Wartime,Jul,23,2010,4.5,0.281447,0.281447
Chinjeolhan geumjassi,May,4,2006,4.5,0.211667,23.471871
Blackthorn,Oct,7,2011,4.5,0.200558,1.217307
Maggie,May,8,2015,4.5,0.187112,0.597989
Lilja 4-ever,Apr,18,2003,4.5,0.181655,4.556982
After.Life,Apr,9,2010,4.5,0.108596,2.481925
Mean Machine,Feb,22,2002,4.5,0.092723,0.092723
Fong juk,Aug,31,2007,4.5,0.051957,0.051957
Spoken Word,Jul,23,2010,4.5,0.032961,0.032961
The Sweeney,Mar,1,2013,4.5,0.026345,7.838405
Falcon Rising,Sep,4,2014,4.5,0.011774,0.011774
Hansel & Gretel Get Baked,Jun,25,2013,4.5,0,0
Fugly,Nov,7,2014,4.5,0,0
Zipper,Aug,28,2015,4.5,0,0
One Flew Over the Cuckoo's Nest,Nov,19,1975,4.4,108.981275,108.981275
Silent Movie,Jun,25,1976,4.4,36.145695,36.145695
Airlift (2016),Dec,31,2016,4.4,0,9.969237
R.L. Stine's Monsterville: The Cabinet of Souls,Sep,29,2015,4.4,0,0
Anna,Jun,6,2014,4.357373,0,1.2
Whale Rider,Jun,6,2003,4.3,20.779666,39.3746
Sexy Beast,Jun,13,2001,4.3,6.946056,10.158355
Paa,Dec,4,2009,4.3,0.199228,9.791282
Snabba Cash,Jul,11,2012,4.3,0.18887,10.212403
Night of the Living Dead,Oct,19,1990,4.2,5.835247,5.835247
Nochnoy dozor,Feb,17,2006,4.2,1.502188,33.913542
Animal Kingdom,Aug,13,2010,4.2,1.044039,8.078683
George A. Romero's Survival of the Dead,May,28,2010,4.2,0.10174,0.10174
Cargo,Oct,21,2011,4.2,0,0.31323
High School Musical,May,23,2006,4.2,0,0
Love and Death on Long Island,Mar,6,1998,4.03,2.542264,2.542264
Porky's,Mar,19,1982,4,109.492484,109.492484
Peter Pan,Feb,5,1953,4,87.4,87.4
The Crying Game,Nov,25,1992,4,62.546695,62.546695
Lost in Translation,Sep,12,2003,4,44.585453,117.085297
Annie Hall,Apr,20,1977,4,38.251425,38.251425
The Greatest Show on Earth,Jan,10,1952,4,36,36
The Boy Next Door,Jan,23,2015,4,35.42338,52.819253
Leaving Las Vegas,Oct,27,1995,4,31.983777,49.8
Monster's Ball,Dec,26,2001,4,31.273922,43.766463
Boyhood,Jul,11,2014,4,25.379975,57.273049
Exodus,Jan,1,1960,4,21.75,21.75
The Kids Are All Right,Jul,9,2010,4,20.811365,36.275469
The Life of Brian,Aug,17,1979,4,20.008693,20.008693
A Haunted House 2,Apr,18,2014,4,17.329487,21.206861
The Last Exorcism Part II,Mar,1,2013,4,15.179303,25.448707
The Front Page,Dec,17,1974,4,15,15
Trapeze,Jan,1,1956,4,14.4,14.4
The Return of the Living Dead,Aug,16,1985,4,14.23788,14.23788
They Live,Nov,4,1988,4,13,13
Saving Grace,Aug,4,2000,4,12.178602,27.786849
The Great Escape,Aug,8,1963,4,11.744471,11.744471
What the #$'! Do We Know,Feb,6,2004,4,10.941801,10.941801
Scoop,Jul,28,2006,4,10.525717,40.107018
The Wash,Nov,14,2001,4,10.097096,10.097096
3 Strikes,Mar,1,2000,4,9.821335,9.821335
The Visitor,Apr,11,2008,4,9.427026,19.174817
The Cooler,Nov,26,2003,4,8.291572,11.131455
The Misfits,Jan,1,1961,4,8.2,8.2
The Night Listener,Aug,4,2006,4,7.836393,10.770993
The Jerky Boys,Feb,3,1995,4,7.555256,7.555256
El orfanato,Dec,28,2007,4,7.159147,79.250193
Bug,May,25,2007,4,7.006708,8.302995
The Rules of Attraction,Oct,11,2002,4,6.525762,11.79906
Topaz,Dec,19,1969,4,6,6
Let's Go to Prison,Nov,17,2006,4,4.630045,4.630045
Four Rooms,Dec,25,1995,4,4.301,4.301
Secretary,Sep,20,2002,4,4.046737,9.413956
The Real Cancun,Apr,25,2003,4,3.816594,3.816594
Talk Radio,Dec,1,1988,4,3.468572,3.468572
Waiting for Guffman,Jan,31,1997,4,2.922988,2.922988
Love Stinks,Sep,10,1999,4,2.793776,2.793776
Samsara,Aug,24,2012,4,2.672413,5.966671
You Kill Me,Jun,22,2007,4,2.426851,3.858964
The Art of Getting By,Jun,17,2011,4,1.430241,1.989035
Thumbsucker,Sep,16,2005,4,1.328679,1.919197
Red State,Mar,5,2011,4,1.065429,1.983596
MirrorMask,Sep,30,2005,4,0.864959,0.973613
The Barbarians,Mar,31,1987,4,0.8,0.8
Holy Motors,Oct,17,2012,4,0.641054,4.230426
Poolhall Junkies,Feb,28,2003,4,0.563711,0.563711
The Loss of Sexual Innocence,May,28,1999,4,0.399793,0.399793
The Face of Love,Mar,7,2014,4,0.385069,1.158877
Joe,Apr,11,2014,4,0.373375,0.373375
Prison,Mar,4,1988,4,0.354704,0.354704
Shooting Fish,May,1,1998,4,0.302204,0.302204
Adoration,May,8,2009,4,0.294244,0.384244
Psycho Beach Party,Aug,4,2000,4,0.267972,0.267972
The Big Tease,Jan,28,2000,4,0.185577,0.185577
Desert Dancer,Apr,10,2015,4,0.155271,0.324218
"Guten Tag, Ramon",Jan,30,2015,4,0.154356,4.854356
Mondays in the Sun,Jul,25,2003,4,0.146402,0.146402
Manglehorn,Jun,19,2015,4,0.13227,0.332752
Trust,Apr,1,2011,4,0.120016,0.120016
An Everlasting Piece,Dec,22,2000,4,0.075078,0.075078
Among Giants,Mar,26,1999,4,0.064359,0.064359
The Velocity of Gary,Jul,16,1999,4,0.034145,0.034145
Stake Land,Apr,22,2011,4,0.033245,0.679482
Praia do Futuro,Feb,27,2015,4,0.02062,0.760678
Sonny,Dec,27,2002,4,0.017639,0.017639
The Last Time I Committed Suicide,Jun,20,1997,4,0.012836,0.012836
Another Happy Day,Nov,18,2011,4,0.00912,0.978527
Inescapable,Feb,22,2013,4,0.004327,0.004327
Geograf globus propil,Dec,31,2013,4,0,4.454853
A Lonely Place to Die,Mar,20,2012,4,0,0.44255
Nothing,Dec,31,2003,4,0,0.06318
The Loved Ones,Jun,1,2012,4,0,0.012302
1776,Nov,9,1972,4,0,0
Hell's Angels,Jan,1,1930,4,0,0
Purple Violets,Aug,26,2008,4,0,0
Replicas,Nov,9,2012,4,0,0
The Helpers,Dec,31,2012,4,0,0
The Veil,Dec,31,2015,4,0,0
The Perfect Wave,Jul,11,2014,4,0,0
How to Fall in Love,Dec,31,2012,4,0,0
Chain of Command,Sep,8,2015,4,0,0
Gone with the Wind,Dec,15,1939,3.9,198.68047,390.525192
A Man for All Seasons,Dec,12,1966,3.9,28.35,28.35
Ben-Hur,Dec,30,1925,3.9,9,9
Network,Jan,1,1976,3.8,23.689877,23.689877
Down for Life,Jan,14,2011,3.8,0.041914,0.041914
The Good Heart,Apr,30,2010,3.8,0.02093,0.34093
Major Dundee,Apr,7,1965,3.8,0.014873,0.014873
Annie Get Your Gun,May,17,1950,3.768785,8,8
Casa de Areia,Aug,11,2006,3.75,0.539285,1.178175
Four Lions,Nov,5,2010,3.75,0.310007,2.436111
Defendor,Feb,19,2010,3.75,0.044462,0.044462
The Ballad of Cable Hogue,May,13,1970,3.716946,3.5,5
The Pirate,Jan,1,1948,3.7,2.956,2.956
The History Boys,Nov,21,2006,3.7,2.730296,13.447998
Unknown,Nov,3,2006,3.7,0.026403,3.355048
Midnight Cowboy,May,25,1969,3.6,44.785053,44.785053
Airplane!,Jul,4,1980,3.5,83.453539,83.453539
M*A*S*H,Jan,1,1970,3.5,81.6,81.6
The Full Monty,Aug,13,1997,3.5,45.950122,257.938649
Menace II Society,May,26,1993,3.5,27.731527,27.731527
Friday,Apr,26,1995,3.5,27.467564,27.936778
The Witch,Feb,19,2016,3.5,25.138705,40.45452
Empire,Dec,6,2002,3.5,17.504595,18.495444
Dark Skies,Feb,22,2013,3.5,17.418667,27.704111
Creepshow 2,May,1,1987,3.5,14,14
In Cold Blood,Jan,1,1967,3.5,13,13.007551
The Nun's Story,Jan,1,1959,3.5,12.8,12.8
Frenzy,Jun,21,1972,3.5,12.6,12.6
Harper,Feb,23,1966,3.5,12,12
I Got the Hook-Up!,May,27,1998,3.5,10.317779,10.317779
She's the One,Aug,23,1996,3.5,9.482579,13.795053
Terror Train,Jan,1,1980,3.5,8,8
Gods and Monsters,Nov,6,1998,3.5,6.451628,6.451628
El secreto de sus ojos,Apr,16,2010,3.5,6.391436,40.527719
Evil Dead II,Mar,13,1987,3.5,5.923044,5.923044
Day of the Dead,Jul,3,1985,3.5,5.804262,34.004262
Pootie Tang,Jun,29,2001,3.5,3.293258,3.293258
La otra conquista,Apr,19,2000,3.5,0.88641,0.88641
Trolljegeren,Jun,10,2011,3.5,0.253444,5.706638
Ira and Abby,Sep,14,2007,3.5,0.221096,0.221096
The Masked Saint,Jan,8,2016,3.5,0.182695,0.182695
Winter Passing,Feb,17,2006,3.5,0.107492,0.113783
D.E.B.S.,Mar,25,2005,3.5,0.096793,0.096793
Time to Choose,Jun,3,2016,3.5,0.029233,0.029233
Surveillance,Jun,26,2009,3.5,0.027349,1.396395
Taxman,Sep,17,1999,3.5,0.009871,0.009871
The Betrayed,Jun,30,2009,3.5,0,0
The Secret,Oct,1,2006,3.5,0,0
2:13,Jun,28,2011,3.5,0,0
"Batman: The Dark Knight Returns, Part 2",Jan,29,2013,3.5,0,0
In the Name of the King III,Mar,11,2014,3.5,0,0
Wicked Blood,Mar,4,2014,3.5,0,0
Dawn Patrol,Jun,5,2015,3.5,0,0
Jagten,May,17,2013,3.45,0.687185,18.309793
Lords of London,Sep,1,2015,3.44,0,0
La marche de l'empereur,Jun,24,2005,3.4,77.437223,133.276359
High Anxiety,Dec,23,1977,3.4,31.063038,31.063038
Margin Call,Oct,21,2011,3.4,5.353586,20.433227
Choke,Sep,26,2008,3.4,2.926565,4.124277
L'incomparable mademoiselle C.,Apr,23,2004,3.4,0.493905,0.493905
August,Jul,11,2008,3.4,0.012636,0.012636
To Write Love On Her Arms,Mar,3,2015,3.4,0,0
Whiplash,Oct,10,2014,3.3,13.092006,33.474334
Bella,Oct,26,2007,3.3,8.093373,12.405473
Cidade de Deus,Jan,17,2003,3.3,7.563397,32.059295
Human Traffic,May,5,2000,3.3,0.104257,5.42274
The Dead Girl,Dec,29,2006,3.3,0.019875,0.019875
The Opposite Sex,Jan,20,2015,3.3,0,0.040262
A Christmas Story,Nov,18,1983,3.25,20.605209,20.605209
Class of 1984,Aug,20,1982,3.25,6.965361,6.965361
Entre les murs,Jan,30,2009,3.25,3.76681,34.114067
Dreaming of Joseph Lees,Oct,29,1999,3.25,0.00768,0.00768
Rosemary's Baby,Jun,12,1968,3.2,33.395426,33.395426
The Man Who Shot Liberty Valance,Jan,1,1962,3.2,8,8
Maria Full of Grace,Jul,16,2004,3.2,6.529624,14.441158
Beginners,Jun,3,2011,3.2,5.790894,14.314407
Adam,Jul,29,2009,3.2,2.277396,2.82859
Feast,Sep,22,2006,3.2,0.056131,0.690872
It's a Wonderful Life,Jan,1,1946,3.18,6.6,9.644124
Trainspotting,Jul,19,1996,3.1,16.501785,71.561772
Antiviral,Apr,12,2013,3.1,0,0.123407
National Lampoon's Animal House,Jul,28,1978,3,141.6,141.6
Paranormal Activity 2,Oct,20,2010,3,84.752907,177.512032
War Room,Aug,28,2015,3,67.790117,73.975239
The Purge,Jun,7,2013,3,64.473115,91.265155
Goldfinger,Dec,22,1964,3,51.1,124.9
Sinister,Oct,12,2012,3,48.086903,87.727807
The Original Kings of Comedy,Aug,18,2000,3,38.168022,38.236338
The Bridge on the River Kwai,Dec,18,1957,3,33.3,33.3
Coming Home,Jan,1,1978,3,32.653,32.653
Waking Ned Devine,Nov,20,1998,3,24.793251,55.193251
Air Bud,Aug,1,1997,3,24.646936,27.788649
Bowling for Columbine,Oct,11,2002,3,21.576018,58.240487
A Nightmare On Elm Street Part 2: Freddy's Revenge,Nov,1,1985,3,21.163999,21.163999
A Room with a View,Mar,7,1986,3,20.966644,20.966644
Love and Death,Jun,10,1975,3,20.123742,20.123742
Friday the 13th Part VI: Jason Lives,Aug,1,1986,3,19.472057,19.472057
Martin Lawrence Live: RunTelDat,Aug,2,2002,3,19.18482,19.18482
The Apartment,Jan,1,1960,3,18.6,24.6
Cat on a Hot Tin Roof,Sep,20,1958,3,17.570324,17.570324
Beneath the Planet of the Apes,May,26,1970,3,17.489009,17.489009
Pokemon 3: The Movie,Apr,6,2001,3,17.052128,68.452128
Jason Goes to Hell: The Final Friday,Aug,13,1993,3,15.935068,15.935068
Spaced Invaders,Apr,27,1990,3,15,15
Family Plot,Apr,9,1976,3,13.2,13.2
Torn Curtain,Jul,16,1966,3,13,13
Dave Chappelle's Block Party,Mar,3,2006,3,11.718595,12.051924
Krush Groove,Oct,25,1985,3,11.052713,11.052713
Elmer Gantry,Jan,1,1960,3,10.4,10.4
Next Day Air,May,8,2009,3,10.027047,10.172519
Judgment at Nuremberg,Jan,1,1961,3,10,10
Trippin',May,12,1999,3,9.01707,9.01707
Red River,Jan,1,1948,3,9.012,9.012
The Deep End,Aug,8,2001,3,8.823109,9.981635
Before Midnight,May,24,2013,3,8.110621,23.376973
Teen Wolf Too,Nov,20,1987,3,7.888,7.888
Phat Girlz,Apr,7,2006,3,7.061128,7.301115
Phantasm II,Jul,8,1988,3,7,7
Woman Thou Art Loosed,Oct,1,2004,3,6.87973,6.87973
Real Women Have Curves,Oct,18,2002,3,5.853194,7.77779
Gallipoli,Aug,28,1981,3,5.732587,5.732587
Water,Apr,28,2006,3,5.529144,11.322573
East is East,Apr,14,2000,3,4.170647,30.438635
Whipped,Sep,1,2000,3,4.142507,4.142507
Kama Sutra,Feb,28,1997,3,4.109095,4.109095
Frances Ha,May,17,2013,3,4.067398,11.267511
Please Give,Apr,30,2010,3,4.033574,4.570178
Willy Wonka & the Chocolate Factory,Jun,30,1971,3,4,4
Warlock: The Armageddon,Sep,24,1993,3,3.902679,3.902679
8 Heads in a Duffel Bag,Apr,18,1997,3,3.602884,4.002884
Days of Heaven,Sep,13,1978,3,3.446749,3.66088
Thirteen Conversations About One Thing,May,24,2002,3,3.287435,3.705923
Compadres,Apr,22,2016,3,3.127773,7.445044
Jawbreaker,Feb,19,1999,3,3.07682,3.07682
Basquiat,Aug,9,1996,3,2.962051,2.962051
Tsotsi,Feb,24,2006,3,2.912606,11.537539
Letters to God,Apr,9,2010,3,2.848587,3.237452
Happiness,Oct,16,1998,3,2.746453,5.746453
DysFunkTional Family,Apr,4,2003,3,2.255,2.255
Tusk,Sep,19,2014,3,1.821983,1.821983
Damsels in Distress,Apr,6,2012,3,1.007535,1.324299
Oldboy,Mar,25,2005,3,0.707391,6.239723
Hobo with a Shotgun,May,6,2011,3,0.703372,0.834953
Bachelorette,Sep,7,2012,3,0.44677,12.577401
Fish Tank,Jan,15,2010,3,0.374675,5.922292
Creature,Sep,9,2011,3,0.331,0.331
Freeway,Aug,23,1996,3,0.295493,0.295493
Love's Abiding Joy,Oct,6,2006,3,0.252726,0.252726
Braindead,Feb,12,1993,3,0.242623,0.242623
Chain Letter,Oct,1,2010,3,0.205842,1.022453
Tim and Eric's Billion Dollar Movie,Mar,2,2012,3,0.201436,0.223652
Holly,Nov,9,2007,3,0.163069,0.163069
The Eclipse,Mar,26,2010,3,0.133411,0.133411
The Grand,Mar,21,2008,3,0.115879,0.115879
Sommersturm,Mar,17,2006,3,0.095204,0.095204
Fort McCoy,Aug,15,2014,3,0.078948,0.078948
The Gambler,Aug,4,1999,3,0.051773,0.101773
Just Looking,Oct,13,2000,3,0.039852,0.039852
Before We Go,Sep,4,2015,3,0.037151,0.371149
The Divide,Jan,13,2012,3,0.018,0.156362
Tanner Hall,Sep,9,2011,3,0.005073,0.005073
My Big Fat Independent Movie,Sep,30,2005,3,0.004655,0.004655
Demonic,Dec,31,2014,3,0,4.668109
à L'Intérieur,Apr,15,2008,3,0,0.895932
They Came Together,Jun,27,2014,3,0,0.08278
Open Road,May,21,2013,3,0,0.047469
Alice in Wonderland,Jul,28,1951,3,0,0
Barry Munday,Oct,1,2010,3,0,0
The Deported,Dec,31,2009,3,0,0
Chicago Overcoat,Dec,31,2009,3,0,0
Never Back Down 2: The Beatdown,Sep,13,2011,3,0,0
AWOL-72,Dec,31,2015,3,0,0
30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,Jan,15,2013,3,0,0
Enter the Dangerous Mind,Feb,6,2015,3,0,0
Something Wicked,Mar,17,2015,3,0,0
Point Blank,Jul,8,2014,3,0,0
Iguana,Oct,27,2014,3,0,0
Four Single Fathers,Dec,31,2009,3,0,0
Amnesiac,Aug,14,2015,3,0,0
Unnatural,Dec,31,2015,3,0,0
Close Range,Dec,11,2015,3,0,0
Cinderella,Feb,15,1950,2.9,85,263.591415
Central do Brasil,Nov,20,1998,2.9,5.969553,17.006158
Pocketful of Miracles,Jan,1,1961,2.9,5,5
Boynton Beach Club,Mar,24,2006,2.9,3.127472,3.127472
Freakonomics,Oct,1,2010,2.9,0.10127,0.172867
Griff the Invisible,Aug,19,2011,2.9,0.020778,0.025935
Some Like it Hot,Mar,29,1959,2.883848,25,25
High Tension,Jun,10,2005,2.85,3.681066,6.435262
Young Frankenstein,Dec,15,1974,2.8,86.3,86.3
The Omen,Jun,25,1976,2.8,48.570885,48.570885
Hustle & Flow,Jul,22,2005,2.8,22.202809,23.591783
Friday the 13th Part VII: The New Blood,May,13,1988,2.8,19.170001,19.170001
Artie Lange's Beer League,Sep,15,2006,2.8,0.475,0.475
The Wizard of Oz,Aug,25,1939,2.777,33.711566,33.754967
Diary of the Dead,Feb,15,2008,2.75,0.95262,5.394447
The Black Stallion,Oct,17,1979,2.7,37.799643,37.799643
Ulee's Gold,Jun,13,1997,2.7,9.054736,15.6
Lage Raho Munna Bhai,Sep,1,2006,2.7,2.217561,31.517561
Sardaar Ji,Dec,31,2015,2.7,0,8.2
Rejsen til Saturn,Dec,31,2008,2.7,0,5.377665
Donovan's Reef,Jan,1,1963,2.686,6.6,6.6
The Dress,Jan,16,1998,2.65,0.016556,0.016556
A Guy Named Joe,Dec,24,1943,2.627,5.363,5.363
Blazing Saddles,Jan,1,1974,2.6,119.5,119.5
Friday the 13th Part IV: The Final Chapter,Apr,13,1984,2.6,32.98088,32.98088
Ida,May,2,2014,2.6,3.82706,15.298355
Maurice,Jan,1,1987,2.6,3.130592,3.130592
Riding Giants,Jul,9,2004,2.6,2.276368,3.292333
Los Cronocrímenes,Dec,12,2008,2.6,0.039127,0.564474
La Cara Oculta,Dec,31,2011,2.6,0,7.033931
Timber Falls,Dec,7,2007,2.6,0,0.071248
Silver Medalist,Dec,31,2008,2.6,0,0
"Fat, Sick & Nearly Dead",Apr,1,2011,2.6,0,0
Singin' in the Rain,Apr,10,1952,2.54,7.2,7.2
A Haunted House,Jan,11,2013,2.5,40.041683,59.922558
2016: Obama’s America,Jul,13,2012,2.5,33.349941,33.349941
Kevin Hart: Let Me Explain,Jul,3,2013,2.5,32.244051,32.327255
Garden State,Jul,28,2004,2.5,26.782316,36.028802
That Thing You Do!,Oct,4,1996,2.5,25.857416,34.557416
Halloween II,Oct,30,1981,2.5,25.533818,25.533818
Halloween 3: Season of the Witch,Oct,22,1982,2.5,14.4,14.4
Religulous,Oct,1,2008,2.5,13.01116,13.881317
Escape from the Planet of the Apes,Jan,1,1971,2.5,12.3,12.3
Hud,May,29,1963,2.5,10,10
The Spectacular Now,Aug,2,2013,2.5,6.852971,6.916951
My Own Private Idaho,Sep,29,1991,2.5,6.401336,6.401336
Before Sunrise,Jan,27,1995,2.5,5.274005,5.677093
Robot & Frank,Aug,17,2012,2.5,3.317468,4.934356
Sur Le Seuil,Oct,3,2003,2.5,2.013052,2.013052
Jesus' Son,Jun,16,2000,2.5,1.282084,1.687548
Saving Face,May,27,2005,2.5,1.187266,1.269705
Brick Lane,Jun,20,2008,2.5,1.094998,3.838486
The Lost Medallion: The Adventures of Billy Stone,Mar,1,2013,2.5,0.549632,0.549632
My Life Without Me,Sep,26,2003,2.5,0.43236,12.267275
Marilyn Hotchkiss' Ballroom Dancing and Charm School,Mar,31,2006,2.5,0.349132,0.497195
Super,Apr,1,2011,2.5,0.327716,0.593933
Fuel,Nov,14,2008,2.5,0.174255,0.174255
Valley of the Hearts Delight,Apr,9,2010,2.5,0.118666,0.118666
The Other End of the Line,Oct,31,2008,2.5,0.115504,0.507446
8: The Mormon Proposition,Jun,18,2010,2.5,0.10028,0.10028
Sleep Dealer,Apr,17,2009,2.5,0.080136,0.108907
Eye of the Dolphin,Aug,24,2007,2.5,0.07221,0.07226
Underdogs,Aug,16,2013,2.5,0.035017,0.035017
Anatomie,Sep,8,2000,2.5,0.009598,0.009598
The Calling,Dec,31,2009,2.5,0,0
Alien Uprising,Jun,21,2013,2.5,0,0
Christmas Mail,Dec,31,2010,2.5,0,0
Stung,Jul,3,2015,2.5,0,0
8 Days,Oct,13,2015,2.5,0,0
Antibirth,Sep,2,2016,2.5,0,0
The Rise of the Krays,Feb,2,2016,2.5,0,0
Go For It!,May,13,2011,2.45,0.180237,0.182358
Get on the Bus,Oct,16,1996,2.4,5.691854,5.691854
Thr3e,Jan,5,2007,2.4,1.008849,1.420418
Idiocracy,Sep,1,2006,2.4,0.444093,0.500296
Always Woodstock,Nov,14,2014,2.4,0,0
This is England,Jul,25,2007,2.38,0.327919,8.739576
Bathing Beauty,Jan,1,1944,2.361,3.5,3.5
Do You Believe?,Mar,20,2015,2.3,12.9856,14.30554
Show Boat,Sep,24,1951,2.3,11,11
"Dancer, Texas Pop. 81",May,1,1998,2.3,0.574838,0.574838
Redemption Road,Aug,26,2011,2.3,0.029384,0.029384
The Toxic Avenger Part II,Apr,15,2015,2.3,0,0
Eden,Jan,19,2016,2.3,0,0
The Brave Little Toaster,Jun,19,1987,2.3,0,0
Fantasia,Nov,13,1940,2.28,83.32,83.32
Friday the 13th Part 3,Aug,13,1982,2.25,36.690067,36.690067
The French Connection,Oct,9,1971,2.2,41.158757,41.158757
Friday the 13th Part V: A New Beginning,Mar,22,1985,2.2,21.930418,21.930418
The Last Sin Eater,Feb,9,2007,2.2,0.38839,0.38839
Impact Point,Dec,31,2008,2.2,0,0
The Valley of Decision,Jan,1,1945,2.16,9.132,9.132
Chicken Tikka Masala,Dec,31,2005,2.16,0,0.037865
Jack Brooks: Monster Slayer,Oct,7,2008,2.15,0,0
The Best Years of Our Lives,Nov,21,1946,2.1,23.6,23.6
Bully,Jul,13,2001,2.1,0.881824,1.381824
Elling,May,29,2002,2.1,0.313436,0.313436
Mi America,Oct,16,2016,2.1,0.00333,0.00333
[Rec],Jul,14,2009,2.1,0,23.266821
Infected,Dec,31,2012,2.1,0,0
Lies in Plain Sight,Dec,31,2010,2.1,0,0
The Timber,Oct,6,2015,2.1,0,0
Sharkskin,Jan,19,2016,2.1,0,0
Courageous,Sep,30,2011,2,34.522221,35.185884
From Russia With Love,Apr,8,1964,2,24.8,78.9
Mad Max 2: The Road Warrior,May,21,1982,2,24.600832,24.600832
Notorious,Jan,1,1946,2,24.464742,24.464742
In the Heat of the Night,Aug,2,1967,2,24.379978,24.379978
Sleeper,Dec,17,1973,2,18.344729,18.344729
Everything You Always Wanted to Know,Aug,11,1972,2,18.01629,18.01629
It Follows,Mar,13,2015,2,14.674077,20.649774
To Kill A Mockingbird,Dec,25,1962,2,13.129846,13.129846
Silent House,Mar,9,2012,2,12.739737,16.61076
The Legend of Drunken Master,Oct,20,2000,2,11.546543,11.546543
Boys Don't Cry,Oct,8,1999,2,11.540607,20.741
Das Leben der Anderen,Feb,9,2007,2,11.284657,81.197047
Lolita,Jan,1,1962,2,9.25,9.25
Boom Town,Jan,1,1940,2,9.172,9.172
Gentleman's Agreement,Jan,1,1947,2,7.8,7.8
The Hustler,Sep,25,1961,2,7.6,7.6
Witchboard,Dec,31,1986,2,7.369373,7.369373
Les Triplettes de Belleville,Nov,26,2003,2,7.301288,17.403168
Smoke Signals,Jun,26,1998,2,6.7193,7.756617
